"GeneID";"Biotype";"Length";"Chromosome";"Location";"Exons";"Organism"
"Gene_001470";"snRNA";4239;4;"304477-326491";17;"Mus musculus"
"Gene_001471";"lncRNA";41085;5;"599780-627883";18;"Bos taurus"
"Gene_001472";"rRNA";29490;3;"128451-152335";4;"Homo sapiens"
"Gene_001473";"rRNA";9446;1;"81008-86540";13;"Homo sapiens"
"Gene_001474";"lncRNA";31273;2;"439452-453882";6;"Sus scrofa"
"Gene_001475";"protein_coding";13538;3;"423154-428241";16;"Sus scrofa"
"Gene_001476";"protein_coding";45403;1;"328017-377088";16;"Sus scrofa"
"Gene_001477";"lncRNA";6583;3;"973925-1022017";5;"Mus musculus"
"Gene_001478";"lncRNA";26888;5;"732617-750869";9;"Bos taurus"
"Gene_001479";"protein_coding";15129;2;"345083-346957";20;"Bos taurus"
"Gene_001480";"protein_coding";30783;2;"894611-931074";15;"Homo sapiens"
"Gene_001481";"rRNA";20657;2;"122435-126494";9;"Bos taurus"
"Gene_001482";"rRNA";36256;3;"779014-794258";3;"Bos taurus"
"Gene_001483";"protein_coding";28155;5;"249704-277285";9;"Mus musculus"
"Gene_001484";"tRNA";38408;2;"462489-502924";11;"Mus musculus"
"Gene_001485";"protein_coding";3792;2;"343998-372806";20;"Homo sapiens"
"Gene_001486";"tRNA";44839;1;"823980-857491";20;"Homo sapiens"
"Gene_001487";"protein_coding";12571;2;"544952-586412";13;"Mus musculus"
"Gene_001488";"protein_coding";18078;5;"790963-819577";10;"Bos taurus"
"Gene_001489";"tRNA";21052;2;"185532-205132";8;"Mus musculus"
"Gene_001490";"tRNA";24176;5;"344743-385646";14;"Sus scrofa"
"Gene_001491";"lncRNA";22111;1;"45681-82861";7;"Homo sapiens"
"Gene_001492";"lncRNA";48042;5;"558233-589163";8;"Homo sapiens"
"Gene_001493";"snRNA";20631;5;"8626-47868";12;"Sus scrofa"
"Gene_001494";"lncRNA";16225;5;"191319-201472";5;"Bos taurus"
"Gene_001495";"snRNA";35553;2;"797967-826233";16;"Sus scrofa"
"Gene_001496";"tRNA";31731;4;"858498-905527";6;"Sus scrofa"
"Gene_001497";"rRNA";48337;1;"573651-580260";15;"Homo sapiens"
"Gene_001498";"snRNA";2393;2;"463022-505095";4;"Mus musculus"
"Gene_001499";"snRNA";40642;2;"642487-661784";11;"Sus scrofa"
"Gene_001500";"rRNA";5806;4;"138926-187129";20;"Mus musculus"
"Gene_001501";"tRNA";23150;2;"854781-864246";11;"Sus scrofa"
"Gene_001502";"protein_coding";32728;2;"730111-749050";10;"Bos taurus"
"Gene_001503";"rRNA";35971;4;"847362-856411";1;"Mus musculus"
"Gene_001504";"snRNA";38965;2;"700778-744961";6;"Bos taurus"
"Gene_001505";"rRNA";37401;5;"268719-284225";18;"Homo sapiens"
"Gene_001506";"protein_coding";40667;2;"138977-187778";17;"Sus scrofa"
"Gene_001507";"tRNA";4821;3;"493545-538526";11;"Bos taurus"
"Gene_001508";"lncRNA";28781;4;"305082-310611";18;"Mus musculus"
"Gene_001509";"snRNA";19947;1;"838170-855208";3;"Mus musculus"
"Gene_001510";"rRNA";8429;2;"802225-841993";1;"Bos taurus"
"Gene_001511";"protein_coding";24418;5;"774425-777920";11;"Mus musculus"
"Gene_001512";"lncRNA";23632;2;"93528-102345";9;"Bos taurus"
"Gene_001513";"snRNA";974;4;"12697-49962";8;"Homo sapiens"
"Gene_001514";"lncRNA";35767;4;"992197-996438";17;"Sus scrofa"
"Gene_001515";"tRNA";2496;3;"652772-673530";11;"Mus musculus"
"Gene_001516";"snRNA";10953;5;"159555-169012";3;"Sus scrofa"
"Gene_001517";"lncRNA";25424;4;"328245-370513";20;"Sus scrofa"
"Gene_001518";"rRNA";9272;1;"45424-78323";2;"Mus musculus"
"Gene_001519";"tRNA";41198;1;"370443-392810";20;"Homo sapiens"
"Gene_001520";"protein_coding";5539;3;"171125-186769";9;"Bos taurus"
"Gene_001521";"tRNA";42290;3;"259881-307163";15;"Bos taurus"
"Gene_001522";"rRNA";12289;5;"495078-524632";17;"Bos taurus"
"Gene_001523";"lncRNA";469;2;"961363-984395";18;"Homo sapiens"
"Gene_001524";"rRNA";39872;4;"194634-222911";20;"Sus scrofa"
"Gene_001525";"rRNA";19176;1;"358081-384399";13;"Bos taurus"
"Gene_001526";"snRNA";49162;4;"193178-206391";16;"Sus scrofa"
"Gene_001527";"lncRNA";11028;5;"220369-239365";3;"Sus scrofa"
"Gene_001528";"snRNA";3940;4;"814875-841809";19;"Bos taurus"
